2018-04-30 04:29:12 startup archives unpack
2018-04-30 04:29:43 status unpacked libtinfo-dev:amd64 5.9+20140913-1+deb8u2
2018-04-30 04:29:43 install libreadline6-dev:amd64 <none> 6.3-8+b3
2018-04-30 04:29:43 status half-installed libreadline6-dev:amd64 6.3-8+b3
2018-04-30 04:29:43 status unpacked libreadline6-dev:amd64 6.3-8+b3
2018-04-30 04:29:43 status unpacked libreadline6-dev:amd64 6.3-8+b3
2018-04-30 04:29:43 install libreadline-dev:amd64 <none> 6.3-8+b3
2018-04-30 04:29:43 status half-installed libreadline-dev:amd64 6.3-8+b3
2018-04-30 04:29:43 status unpacked libreadline-dev:amd64 6.3-8+b3
2018-04-30 04:29:43 status unpacked libreadline-dev:amd64 6.3-8+b3
2018-04-30 04:29:43 install liblua5.2-dev:amd64 <none> 5.2.3-1.1
2018-04-30 04:29:43 status half-installed liblua5.2-dev:amd64 5.2.3-1.1
2018-04-30 04:29:43 status unpacked liblua5.2-dev:amd64 5.2.3-1.1
2018-04-30 04:29:43 status unpacked liblua5.2-dev:amd64 5.2.3-1.1
2018-04-30 04:29:43 install pkg-config:amd64 <none> 0.28-1
2018-04-30 04:29:43 status half-installed pkg-config:amd64 0.28-1
2018-04-30 04:29:43 status unpacked pkg-config:amd64 0.28-1
2018-04-30 04:29:43 status unpacked pkg-config:amd64 0.28-1
2018-04-30 04:29:43 install libnghttp2-dev:amd64 <none> 1.18.1-1
2018-04-30 04:29:43 status half-installed libnghttp2-dev:amd64 1.18.1-1
2018-04-30 04:29:43 status unpacked libnghttp2-dev:amd64 1.18.1-1
2018-04-30 04:29:43 status unpacked libnghttp2-dev:amd64 1.18.1-1
2018-04-30 04:29:43 install libpcre3-dev:amd64 <none> 2:8.35-3.3+deb8u4
2018-04-30 04:29:43 status half-installed libpcre3-dev:amd64 2:8.35-3.3+deb8u4
2018-04-30 04:29:43 status unpacked libpcre3-dev:amd64 2:8.35-3.3+deb8u4
2018-04-30 04:29:43 status unpacked libpcre3-dev:amd64 2:8.35-3.3+deb8u4
2018-04-30 04:29:43 install zlib1g-dev:amd64 <none> 1:1.2.8.dfsg-2+b1
2018-04-30 04:29:43 status half-installed zlib1g-dev:amd64 1:1.2.8.dfsg-2+b1
2018-04-30 04:29:43 status unpacked zlib1g-dev:amd64 1:1.2.8.dfsg-2+b1
2018-04-30 04:29:43 status unpacked zlib1g-dev:amd64 1:1.2.8.dfsg-2+b1
2018-04-30 04:29:43 install libssl-dev:amd64 <none> 1.0.2l-1~bpo8+1
2018-04-30 04:29:43 status half-installed libssl-dev:amd64 1.0.2l-1~bpo8+1
2018-04-30 04:29:43 status unpacked libssl-dev:amd64 1.0.2l-1~bpo8+1
2018-04-30 04:29:43 status unpacked libssl-dev:amd64 1.0.2l-1~bpo8+1
2018-04-30 04:29:43 install libxml2-dev:amd64 <none> 2.9.1+dfsg1-5+deb8u6
2018-04-30 04:29:43 status half-installed libxml2-dev:amd64 2.9.1+dfsg1-5+deb8u6
2018-04-30 04:29:43 status unpacked libxml2-dev:amd64 2.9.1+dfsg1-5+deb8u6
2018-04-30 04:29:43 status unpacked libxml2-dev:amd64 2.9.1+dfsg1-5+deb8u6
2018-04-30 04:29:43 install libpcre++-dev:amd64 <none> 0.9.5-6
2018-04-30 04:29:43 status half-installed libpcre++-dev:amd64 0.9.5-6
2018-04-30 04:29:43 status unpacked libpcre++-dev:amd64 0.9.5-6
2018-04-30 04:29:43 status unpacked libpcre++-dev:amd64 0.9.5-6
2018-04-30 04:29:44 startup packages configure
2018-04-30 04:29:44 configure libgdbm3:amd64 1.8.3-13.1 <none>
2018-04-30 04:29:44 status unpacked libgdbm3:amd64 1.8.3-13.1
2018-04-30 04:29:44 status half-configured libgdbm3:amd64 1.8.3-13.1
2018-04-30 04:29:44 status installed libgdbm3:amd64 1.8.3-13.1
2018-04-30 04:29:44 status triggers-pending libc-bin:amd64 2.19-18+deb8u10
2018-04-30 04:29:44 configure libidn11:amd64 1.29-1+deb8u2 <none>
2018-04-30 04:29:44 status unpacked libidn11:amd64 1.29-1+deb8u2
2018-04-30 04:29:44 status half-configured libidn11:amd64 1.29-1+deb8u2
2018-04-30 04:29:44 status installed libidn11:amd64 1.29-1+deb8u2
2018-04-30 04:29:44 configure perl-modules:all 5.20.2-3+deb8u10 <none>
2018-04-30 04:29:44 status unpacked perl-modules:all 5.20.2-3+deb8u10
2018-04-30 04:29:44 status unpacked perl-modules:all 5.20.2-3+deb8u10
2018-04-30 04:29:44 status unpacked perl-modules:all 5.20.2-3+deb8u10
2018-04-30 04:29:44 status half-configured perl-modules:all 5.20.2-3+deb8u10
2018-04-30 04:29:44 status installed perl-modules:all 5.20.2-3+deb8u10
2018-04-30 04:29:44 configure perl:amd64 5.20.2-3+deb8u10 <none>
2018-04-30 04:29:44 status unpacked perl:amd64 5.20.2-3+deb8u10
2018-04-30 04:29:44 status half-configured perl:amd64 5.20.2-3+deb8u10
2018-04-30 04:29:44 status installed perl:amd64 5.20.2-3+deb8u10
2018-04-30 04:29:44 configure libasan1:amd64 4.9.2-10+deb8u1 <none>
2018-04-30 04:29:44 status unpacked libasan1:amd64 4.9.2-10+deb8u1
2018-04-30 04:29:44 status half-configured libasan1:amd64 4.9.2-10+deb8u1
2018-04-30 04:29:44 status installed libasan1:amd64 4.9.2-10+deb8u1
2018-04-30 04:29:44 configure libatomic1:amd64 4.9.2-10+deb8u1 <none>
2018-04-30 04:29:44 status unpacked libatomic1:amd64 4.9.2-10+deb8u1
2018-04-30 04:29:44 status half-configured libatomic1:amd64 4.9.2-10+deb8u1
2018-04-30 04:29:44 status installed libatomic1:amd64 4.9.2-10+deb8u1
2018-04-30 04:29:44 configure libcilkrts5:amd64 4.9.2-10+deb8u1 <none>
2018-04-30 04:29:44 status unpacked libcilkrts5:amd64 4.9.2-10+deb8u1
2018-04-30 04:29:44 status half-configured libcilkrts5:amd64 4.9.2-10+deb8u1
2018-04-30 04:29:44 status installed libcilkrts5:amd64 4.9.2-10+deb8u1
2018-04-30 04:29:44 configure libisl10:amd64 0.12.2-2 <none>
2018-04-30 04:29:44 status unpacked libisl10:amd64 0.12.2-2
2018-04-30 04:29:44 status half-configured libisl10:amd64 0.12.2-2
2018-04-30 04:29:44 status installed libisl10:amd64 0.12.2-2
2018-04-30 04:29:44 configure libcloog-isl4:amd64 0.18.2-1+b2 <none>
2018-04-30 04:29:44 status unpacked libcloog-isl4:amd64 0.18.2-1+b2
2018-04-30 04:29:44 status half-configured libcloog-isl4:amd64 0.18.2-1+b2
2018-04-30 04:29:44 status installed libcloog-isl4:amd64 0.18.2-1+b2
2018-04-30 04:29:44 configure libglib2.0-0:amd64 2.42.1-1+b1 <none>
2018-04-30 04:29:44 status unpacked libglib2.0-0:amd64 2.42.1-1+b1
2018-04-30 04:29:44 status half-configured libglib2.0-0:amd64 2.42.1-1+b1
2018-04-30 04:29:44 status installed libglib2.0-0:amd64 2.42.1-1+b1
2018-04-30 04:29:44 configure libgomp1:amd64 4.9.2-10+deb8u1 <none>
2018-04-30 04:29:44 status unpacked libgomp1:amd64 4.9.2-10+deb8u1
2018-04-30 04:29:44 status half-configured libgomp1:amd64 4.9.2-10+deb8u1
2018-04-30 04:29:44 status installed libgomp1:amd64 4.9.2-10+deb8u1
2018-04-30 04:29:44 configure libicu52:amd64 52.1-8+deb8u7 <none>
2018-04-30 04:29:44 status unpacked libicu52:amd64 52.1-8+deb8u7
2018-04-30 04:29:44 status half-configured libicu52:amd64 52.1-8+deb8u7
2018-04-30 04:29:44 status installed libicu52:amd64 52.1-8+deb8u7
2018-04-30 04:29:44 configure libitm1:amd64 4.9.2-10+deb8u1 <none>
2018-04-30 04:29:44 status unpacked libitm1:amd64 4.9.2-10+deb8u1
2018-04-30 04:29:44 status half-configured libitm1:amd64 4.9.2-10+deb8u1
2018-04-30 04:29:44 status installed libitm1:amd64 4.9.2-10+deb8u1
2018-04-30 04:29:44 configure liblsan0:amd64 4.9.2-10+deb8u1 <none>
2018-04-30 04:29:44 status unpacked liblsan0:amd64 4.9.2-10+deb8u1
2018-04-30 04:29:44 status half-configured liblsan0:amd64 4.9.2-10+deb8u1
2018-04-30 04:29:44 status installed liblsan0:amd64 4.9.2-10+deb8u1
2018-04-30 04:29:44 configure libmpfr4:amd64 3.1.2-2 <none>
2018-04-30 04:29:44 status unpacked libmpfr4:amd64 3.1.2-2
2018-04-30 04:29:44 status half-configured libmpfr4:amd64 3.1.2-2
2018-04-30 04:29:44 status installed libmpfr4:amd64 3.1.2-2
2018-04-30 04:29:44 configure libpcrecpp0:amd64 2:8.35-3.3+deb8u4 <none>
2018-04-30 04:29:44 status unpacked libpcrecpp0:amd64 2:8.35-3.3+deb8u4
2018-04-30 04:29:44 status half-configured libpcrecpp0:amd64 2:8.35-3.3+deb8u4
2018-04-30 04:29:44 status installed libpcrecpp0:amd64 2:8.35-3.3+deb8u4
2018-04-30 04:29:44 configure libquadmath0:amd64 4.9.2-10+deb8u1 <none>
2018-04-30 04:29:44 status unpacked libquadmath0:amd64 4.9.2-10+deb8u1
2018-04-30 04:29:44 status half-configured libquadmath0:amd64 4.9.2-10+deb8u1
2018-04-30 04:29:44 status installed libquadmath0:amd64 4.9.2-10+deb8u1
2018-04-30 04:29:44 configure libtsan0:amd64 4.9.2-10+deb8u1 <none>
2018-04-30 04:29:44 status unpacked libtsan0:amd64 4.9.2-10+deb8u1
2018-04-30 04:29:44 status half-configured libtsan0:amd64 4.9.2-10+deb8u1
2018-04-30 04:29:44 status installed libtsan0:amd64 4.9.2-10+deb8u1
2018-04-30 04:29:44 configure libubsan0:amd64 4.9.2-10+deb8u1 <none>
2018-04-30 04:29:44 status unpacked libubsan0:amd64 4.9.2-10+deb8u1
2018-04-30 04:29:44 status half-configured libubsan0:amd64 4.9.2-10+deb8u1
2018-04-30 04:29:44 status installed libubsan0:amd64 4.9.2-10+deb8u1
2018-04-30 04:29:44 configure libmpc3:amd64 1.0.2-1 <none>
2018-04-30 04:29:44 status unpacked libmpc3:amd64 1.0.2-1
2018-04-30 04:29:44 status half-configured libmpc3:amd64 1.0.2-1
2018-04-30 04:29:44 status installed libmpc3:amd64 1.0.2-1
2018-04-30 04:29:44 configure libpsl0:amd64 0.5.1-1 <none>
2018-04-30 04:29:44 status unpacked libpsl0:amd64 0.5.1-1
2018-04-30 04:29:44 status half-configured libpsl0:amd64 0.5.1-1
2018-04-30 04:29:44 status installed libpsl0:amd64 0.5.1-1
2018-04-30 04:29:44 configure wget:amd64 1.16-1+deb8u4 <none>
2018-04-30 04:29:44 status unpacked wget:amd64 1.16-1+deb8u4
2018-04-30 04:29:44 status unpacked wget:amd64 1.16-1+deb8u4
2018-04-30 04:29:44 status half-configured wget:amd64 1.16-1+deb8u4
2018-04-30 04:29:44 status installed wget:amd64 1.16-1+deb8u4
2018-04-30 04:29:44 configure bzip2:amd64 1.0.6-7+b3 <none>
2018-04-30 04:29:44 status unpacked bzip2:amd64 1.0.6-7+b3
2018-04-30 04:29:44 status half-configured bzip2:amd64 1.0.6-7+b3
2018-04-30 04:29:44 status installed bzip2:amd64 1.0.6-7+b3
2018-04-30 04:29:44 configure patch:amd64 2.7.5-1 <none>
2018-04-30 04:29:44 status unpacked patch:amd64 2.7.5-1
2018-04-30 04:29:44 status half-configured patch:amd64 2.7.5-1
2018-04-30 04:29:44 status installed patch:amd64 2.7.5-1
2018-04-30 04:29:44 configure xz-utils:amd64 5.1.1alpha+20120614-2+b3 <none>
2018-04-30 04:29:44 status unpacked xz-utils:amd64 5.1.1alpha+20120614-2+b3
2018-04-30 04:29:44 status half-configured xz-utils:amd64 5.1.1alpha+20120614-2+b3
2018-04-30 04:29:44 status installed xz-utils:amd64 5.1.1alpha+20120614-2+b3
2018-04-30 04:29:44 configure binutils:amd64 2.25-5+deb8u1 <none>
2018-04-30 04:29:44 status unpacked binutils:amd64 2.25-5+deb8u1
2018-04-30 04:29:44 status half-configured binutils:amd64 2.25-5+deb8u1
2018-04-30 04:29:44 status installed binutils:amd64 2.25-5+deb8u1
2018-04-30 04:29:44 configure openssl:amd64 1.0.1t-1+deb8u8 <none>
2018-04-30 04:29:44 status unpacked openssl:amd64 1.0.1t-1+deb8u8
2018-04-30 04:29:44 status unpacked openssl:amd64 1.0.1t-1+deb8u8
2018-04-30 04:29:44 status half-configured openssl:amd64 1.0.1t-1+deb8u8
2018-04-30 04:29:44 status installed openssl:amd64 1.0.1t-1+deb8u8
2018-04-30 04:29:44 configure ca-certificates:all 20141019+deb8u3 <none>
2018-04-30 04:29:44 status unpacked ca-certificates:all 20141019+deb8u3
2018-04-30 04:29:44 status half-configured ca-certificates:all 20141019+deb8u3
2018-04-30 04:29:46 status installed ca-certificates:all 20141019+deb8u3
2018-04-30 04:29:46 status triggers-pending ca-certificates:all 20141019+deb8u3
2018-04-30 04:29:46 configure cpp-4.9:amd64 4.9.2-10+deb8u1 <none>
2018-04-30 04:29:46 status unpacked cpp-4.9:amd64 4.9.2-10+deb8u1
2018-04-30 04:29:46 status half-configured cpp-4.9:amd64 4.9.2-10+deb8u1
2018-04-30 04:29:46 status installed cpp-4.9:amd64 4.9.2-10+deb8u1
2018-04-30 04:29:46 configure cpp:amd64 4:4.9.2-2 <none>
2018-04-30 04:29:46 status unpacked cpp:amd64 4:4.9.2-2
2018-04-30 04:29:46 status half-configured cpp:amd64 4:4.9.2-2
2018-04-30 04:29:46 status installed cpp:amd64 4:4.9.2-2
2018-04-30 04:29:46 configure libtimedate-perl:all 2.3000-2 <none>
2018-04-30 04:29:46 status unpacked libtimedate-perl:all 2.3000-2
2018-04-30 04:29:46 status half-configured libtimedate-perl:all 2.3000-2
2018-04-30 04:29:46 status installed libtimedate-perl:all 2.3000-2
2018-04-30 04:29:46 configure libdpkg-perl:all 1.17.27 <none>
2018-04-30 04:29:46 status unpacked libdpkg-perl:all 1.17.27
2018-04-30 04:29:46 status half-configured libdpkg-perl:all 1.17.27
2018-04-30 04:29:46 status installed libdpkg-perl:all 1.17.27
2018-04-30 04:29:46 configure make:amd64 4.0-8.1 <none>
2018-04-30 04:29:46 status unpacked make:amd64 4.0-8.1
2018-04-30 04:29:46 status half-configured make:amd64 4.0-8.1
2018-04-30 04:29:46 status installed make:amd64 4.0-8.1
2018-04-30 04:29:46 configure dpkg-dev:all 1.17.27 <none>
2018-04-30 04:29:46 status unpacked dpkg-dev:all 1.17.27
2018-04-30 04:29:46 status unpacked dpkg-dev:all 1.17.27
2018-04-30 04:29:46 status unpacked dpkg-dev:all 1.17.27
2018-04-30 04:29:46 status half-configured dpkg-dev:all 1.17.27
2018-04-30 04:29:46 status installed dpkg-dev:all 1.17.27
2018-04-30 04:29:46 configure libgcc-4.9-dev:amd64 4.9.2-10+deb8u1 <none>
2018-04-30 04:29:46 status unpacked libgcc-4.9-dev:amd64 4.9.2-10+deb8u1
2018-04-30 04:29:46 status half-configured libgcc-4.9-dev:amd64 4.9.2-10+deb8u1
2018-04-30 04:29:46 status installed libgcc-4.9-dev:amd64 4.9.2-10+deb8u1
2018-04-30 04:29:46 configure gcc-4.9:amd64 4.9.2-10+deb8u1 <none>
2018-04-30 04:29:46 status unpacked gcc-4.9:amd64 4.9.2-10+deb8u1
2018-04-30 04:29:46 status half-configured gcc-4.9:amd64 4.9.2-10+deb8u1
2018-04-30 04:29:46 status installed gcc-4.9:amd64 4.9.2-10+deb8u1
2018-04-30 04:29:46 configure gcc:amd64 4:4.9.2-2 <none>
2018-04-30 04:29:46 status unpacked gcc:amd64 4:4.9.2-2
2018-04-30 04:29:46 status half-configured gcc:amd64 4:4.9.2-2
2018-04-30 04:29:46 status installed gcc:amd64 4:4.9.2-2
2018-04-30 04:29:46 configure libtinfo-dev:amd64 5.9+20140913-1+deb8u2 <none>
2018-04-30 04:29:46 status unpacked libtinfo-dev:amd64 5.9+20140913-1+deb8u2
2018-04-30 04:29:46 status half-configured libtinfo-dev:amd64 5.9+20140913-1+deb8u2
2018-04-30 04:29:46 status installed libtinfo-dev:amd64 5.9+20140913-1+deb8u2
2018-04-30 04:29:46 configure libreadline6-dev:amd64 6.3-8+b3 <none>
2018-04-30 04:29:46 status unpacked libreadline6-dev:amd64 6.3-8+b3
2018-04-30 04:29:46 status half-configured libreadline6-dev:amd64 6.3-8+b3
2018-04-30 04:29:46 status installed libreadline6-dev:amd64 6.3-8+b3
2018-04-30 04:29:46 configure libreadline-dev:amd64 6.3-8+b3 <none>
2018-04-30 04:29:46 status unpacked libreadline-dev:amd64 6.3-8+b3
2018-04-30 04:29:46 status half-configured libreadline-dev:amd64 6.3-8+b3
2018-04-30 04:29:46 status installed libreadline-dev:amd64 6.3-8+b3
2018-04-30 04:29:46 configure liblua5.2-dev:amd64 5.2.3-1.1 <none>
2018-04-30 04:29:46 status unpacked liblua5.2-dev:amd64 5.2.3-1.1
2018-04-30 04:29:46 status half-configured liblua5.2-dev:amd64 5.2.3-1.1
2018-04-30 04:29:46 status installed liblua5.2-dev:amd64 5.2.3-1.1
2018-04-30 04:29:46 configure pkg-config:amd64 0.28-1 <none>
2018-04-30 04:29:46 status unpacked pkg-config:amd64 0.28-1
2018-04-30 04:29:46 status half-configured pkg-config:amd64 0.28-1
2018-04-30 04:29:46 status installed pkg-config:amd64 0.28-1
2018-04-30 04:29:46 configure libnghttp2-dev:amd64 1.18.1-1 <none>
2018-04-30 04:29:46 status unpacked libnghttp2-dev:amd64 1.18.1-1
2018-04-30 04:29:46 status half-configured libnghttp2-dev:amd64 1.18.1-1
2018-04-30 04:29:46 status installed libnghttp2-dev:amd64 1.18.1-1
2018-04-30 04:29:46 configure libpcre3-dev:amd64 2:8.35-3.3+deb8u4 <none>
2018-04-30 04:29:46 status unpacked libpcre3-dev:amd64 2:8.35-3.3+deb8u4
2018-04-30 04:29:46 status half-configured libpcre3-dev:amd64 2:8.35-3.3+deb8u4
2018-04-30 04:29:46 status installed libpcre3-dev:amd64 2:8.35-3.3+deb8u4
2018-04-30 04:29:46 configure zlib1g-dev:amd64 1:1.2.8.dfsg-2+b1 <none>
2018-04-30 04:29:46 status unpacked zlib1g-dev:amd64 1:1.2.8.dfsg-2+b1
2018-04-30 04:29:46 status half-configured zlib1g-dev:amd64 1:1.2.8.dfsg-2+b1
2018-04-30 04:29:46 status installed zlib1g-dev:amd64 1:1.2.8.dfsg-2+b1
2018-04-30 04:29:46 configure libssl-dev:amd64 1.0.2l-1~bpo8+1 <none>
2018-04-30 04:29:46 status unpacked libssl-dev:amd64 1.0.2l-1~bpo8+1
2018-04-30 04:29:46 status half-configured libssl-dev:amd64 1.0.2l-1~bpo8+1
2018-04-30 04:29:46 status installed libssl-dev:amd64 1.0.2l-1~bpo8+1
2018-04-30 04:29:46 configure libxml2-dev:amd64 2.9.1+dfsg1-5+deb8u6 <none>
2018-04-30 04:29:46 status unpacked libxml2-dev:amd64 2.9.1+dfsg1-5+deb8u6
2018-04-30 04:29:46 status half-configured libxml2-dev:amd64 2.9.1+dfsg1-5+deb8u6
2018-04-30 04:29:46 status installed libxml2-dev:amd64 2.9.1+dfsg1-5+deb8u6
2018-04-30 04:29:46 configure libpcre++-dev:amd64 0.9.5-6 <none>
2018-04-30 04:29:46 status unpacked libpcre++-dev:amd64 0.9.5-6
2018-04-30 04:29:46 status half-configured libpcre++-dev:amd64 0.9.5-6
2018-04-30 04:29:46 status installed libpcre++-dev:amd64 0.9.5-6
2018-04-30 04:29:46 trigproc libc-bin:amd64 2.19-18+deb8u10 <none>
2018-04-30 04:29:46 status half-configured libc-bin:amd64 2.19-18+deb8u10
2018-04-30 04:29:46 status installed libc-bin:amd64 2.19-18+deb8u10
2018-04-30 04:29:46 trigproc ca-certificates:all 20141019+deb8u3 <none>
2018-04-30 04:29:46 status half-configured ca-certificates:all 20141019+deb8u3
2018-04-30 04:29:47 status installed ca-certificates:all 20141019+deb8u3
2018-04-30 04:29:47 startup packages configure
2018-04-30 04:30:40 startup packages purge
2018-04-30 04:30:40 status installed dpkg-dev:all 1.17.27
2018-04-30 04:30:40 remove dpkg-dev:all 1.17.27 <none>
2018-04-30 04:30:40 status half-configured dpkg-dev:all 1.17.27
2018-04-30 04:30:40 status half-installed dpkg-dev:all 1.17.27
2018-04-30 04:30:40 status config-files dpkg-dev:all 1.17.27
2018-04-30 04:30:40 purge dpkg-dev:all 1.17.27 <none>
2018-04-30 04:30:40 status config-files dpkg-dev:all 1.17.27
2018-04-30 04:30:40 status config-files dpkg-dev:all 1.17.27
2018-04-30 04:30:40 status config-files dpkg-dev:all 1.17.27
2018-04-30 04:30:40 status config-files dpkg-dev:all 1.17.27
2018-04-30 04:30:40 status config-files dpkg-dev:all 1.17.27
2018-04-30 04:30:40 status not-installed dpkg-dev:all <none>
2018-04-30 04:30:40 status installed gcc:amd64 4:4.9.2-2
2018-04-30 04:30:40 remove gcc:amd64 4:4.9.2-2 <none>
2018-04-30 04:30:40 status half-configured gcc:amd64 4:4.9.2-2
2018-04-30 04:30:40 status half-installed gcc:amd64 4:4.9.2-2
2018-04-30 04:30:40 status config-files gcc:amd64 4:4.9.2-2
2018-04-30 04:30:40 status config-files gcc:amd64 4:4.9.2-2
2018-04-30 04:30:40 status config-files gcc:amd64 4:4.9.2-2
2018-04-30 04:30:40 status not-installed gcc:amd64 <none>
2018-04-30 04:30:40 status installed gcc-4.9:amd64 4.9.2-10+deb8u1
2018-04-30 04:30:40 remove gcc-4.9:amd64 4.9.2-10+deb8u1 <none>
2018-04-30 04:30:40 status half-configured gcc-4.9:amd64 4.9.2-10+deb8u1
2018-04-30 04:30:40 status half-installed gcc-4.9:amd64 4.9.2-10+deb8u1
2018-04-30 04:30:40 status config-files gcc-4.9:amd64 4.9.2-10+deb8u1
2018-04-30 04:30:40 status config-files gcc-4.9:amd64 4.9.2-10+deb8u1
2018-04-30 04:30:40 status config-files gcc-4.9:amd64 4.9.2-10+deb8u1
2018-04-30 04:30:40 status not-installed gcc-4.9:amd64 <none>
2018-04-30 04:30:40 status installed binutils:amd64 2.25-5+deb8u1
2018-04-30 04:30:40 remove binutils:amd64 2.25-5+deb8u1 <none>
2018-04-30 04:30:40 status half-configured binutils:amd64 2.25-5+deb8u1
2018-04-30 04:30:40 status half-installed binutils:amd64 2.25-5+deb8u1
2018-04-30 04:30:40 status triggers-pending libc-bin:amd64 2.19-18+deb8u10
2018-04-30 04:30:40 status config-files binutils:amd64 2.25-5+deb8u1
2018-04-30 04:30:40 purge binutils:amd64 2.25-5+deb8u1 <none>
2018-04-30 04:30:40 status config-files binutils:amd64 2.25-5+deb8u1
2018-04-30 04:30:40 status config-files binutils:amd64 2.25-5+deb8u1
2018-04-30 04:30:40 status config-files binutils:amd64 2.25-5+deb8u1
2018-04-30 04:30:40 status config-files binutils:amd64 2.25-5+deb8u1
2018-04-30 04:30:40 status config-files binutils:amd64 2.25-5+deb8u1
2018-04-30 04:30:40 status not-installed binutils:amd64 <none>
2018-04-30 04:30:40 status installed bzip2:amd64 1.0.6-7+b3
2018-04-30 04:30:40 remove bzip2:amd64 1.0.6-7+b3 <none>
2018-04-30 04:30:40 status half-configured bzip2:amd64 1.0.6-7+b3
2018-04-30 04:30:40 status half-installed bzip2:amd64 1.0.6-7+b3
2018-04-30 04:30:40 status config-files bzip2:amd64 1.0.6-7+b3
2018-04-30 04:30:40 status config-files bzip2:amd64 1.0.6-7+b3
2018-04-30 04:30:40 status config-files bzip2:amd64 1.0.6-7+b3
2018-04-30 04:30:40 status not-installed bzip2:amd64 <none>
2018-04-30 04:30:40 status installed ca-certificates:all 20141019+deb8u3
2018-04-30 04:30:40 remove ca-certificates:all 20141019+deb8u3 <none>
2018-04-30 04:30:40 status half-configured ca-certificates:all 20141019+deb8u3
2018-04-30 04:30:40 status half-installed ca-certificates:all 20141019+deb8u3
2018-04-30 04:30:40 status config-files ca-certificates:all 20141019+deb8u3
2018-04-30 04:30:40 purge ca-certificates:all 20141019+deb8u3 <none>
2018-04-30 04:30:40 status config-files ca-certificates:all 20141019+deb8u3
2018-04-30 04:30:40 status config-files ca-certificates:all 20141019+deb8u3
2018-04-30 04:30:40 status config-files ca-certificates:all 20141019+deb8u3
2018-04-30 04:30:40 status config-files ca-certificates:all 20141019+deb8u3
2018-04-30 04:30:40 status config-files ca-certificates:all 20141019+deb8u3
2018-04-30 04:30:40 status not-installed ca-certificates:all <none>
2018-04-30 04:30:40 status installed cpp:amd64 4:4.9.2-2
2018-04-30 04:30:40 remove cpp:amd64 4:4.9.2-2 <none>
2018-04-30 04:30:40 status half-configured cpp:amd64 4:4.9.2-2
2018-04-30 04:30:41 status half-installed cpp:amd64 4:4.9.2-2
2018-04-30 04:30:41 status config-files cpp:amd64 4:4.9.2-2
2018-04-30 04:30:41 status config-files cpp:amd64 4:4.9.2-2
2018-04-30 04:30:41 status config-files cpp:amd64 4:4.9.2-2
2018-04-30 04:30:41 status not-installed cpp:amd64 <none>
2018-04-30 04:30:41 status installed cpp-4.9:amd64 4.9.2-10+deb8u1
2018-04-30 04:30:41 remove cpp-4.9:amd64 4.9.2-10+deb8u1 <none>
2018-04-30 04:30:41 status half-configured cpp-4.9:amd64 4.9.2-10+deb8u1
2018-04-30 04:30:41 status half-installed cpp-4.9:amd64 4.9.2-10+deb8u1
2018-04-30 04:30:41 status config-files cpp-4.9:amd64 4.9.2-10+deb8u1
2018-04-30 04:30:41 status config-files cpp-4.9:amd64 4.9.2-10+deb8u1
2018-04-30 04:30:41 status config-files cpp-4.9:amd64 4.9.2-10+deb8u1
2018-04-30 04:30:41 status not-installed cpp-4.9:amd64 <none>
2018-04-30 04:30:41 status installed libgcc-4.9-dev:amd64 4.9.2-10+deb8u1
2018-04-30 04:30:41 remove libgcc-4.9-dev:amd64 4.9.2-10+deb8u1 <none>
2018-04-30 04:30:41 status half-configured libgcc-4.9-dev:amd64 4.9.2-10+deb8u1
2018-04-30 04:30:41 status half-installed libgcc-4.9-dev:amd64 4.9.2-10+deb8u1
2018-04-30 04:30:41 status config-files libgcc-4.9-dev:amd64 4.9.2-10+deb8u1
2018-04-30 04:30:41 status config-files libgcc-4.9-dev:amd64 4.9.2-10+deb8u1
2018-04-30 04:30:41 status config-files libgcc-4.9-dev:amd64 4.9.2-10+deb8u1
2018-04-30 04:30:41 status not-installed libgcc-4.9-dev:amd64 <none>
2018-04-30 04:30:41 status installed libasan1:amd64 4.9.2-10+deb8u1
2018-04-30 04:30:41 remove libasan1:amd64 4.9.2-10+deb8u1 <none>
2018-04-30 04:30:41 status half-configured libasan1:amd64 4.9.2-10+deb8u1
2018-04-30 04:30:41 status half-installed libasan1:amd64 4.9.2-10+deb8u1
2018-04-30 04:30:41 status config-files libasan1:amd64 4.9.2-10+deb8u1
2018-04-30 04:30:41 purge libasan1:amd64 4.9.2-10+deb8u1 <none>
2018-04-30 04:30:41 status config-files libasan1:amd64 4.9.2-10+deb8u1
2018-04-30 04:30:41 status config-files libasan1:amd64 4.9.2-10+deb8u1
2018-04-30 04:30:41 status config-files libasan1:amd64 4.9.2-10+deb8u1
2018-04-30 04:30:41 status config-files libasan1:amd64 4.9.2-10+deb8u1
2018-04-30 04:30:41 status config-files libasan1:amd64 4.9.2-10+deb8u1
2018-04-30 04:30:41 status not-installed libasan1:amd64 <none>
2018-04-30 04:30:41 status installed libatomic1:amd64 4.9.2-10+deb8u1
2018-04-30 04:30:41 remove libatomic1:amd64 4.9.2-10+deb8u1 <none>
2018-04-30 04:30:41 status half-configured libatomic1:amd64 4.9.2-10+deb8u1
2018-04-30 04:30:41 status half-installed libatomic1:amd64 4.9.2-10+deb8u1
2018-04-30 04:30:41 status config-files libatomic1:amd64 4.9.2-10+deb8u1
